Id,Name,Institution,Origin,Coordinates,Material,Number of folios,Height mm,Width mm,Area mm^2,Total Lines (#Folios x Columns per Page x Lines per Column x 2),Leaves per gathering,Lines per column,Number of illustrations,Date start,Date end,Date Delta,Columns per folio,Texts,Folios with 1 illustration,Folios with More than 1 illustration
AB142,A.B. 142,Bibliothek der Staatlichen Kunstakademie,France,"51.230615, 6.77388700000005",Parchment,143,290,210,60900,22880,8,40,29,1300,1400,100,2,1,,
AlbiRochegude103,Albi Rochegude 103,"Bibliotheque Municipale (BM), Albi",France,"43.923263, 2.14316800000005",parchment,139,300,200,60000,22240,,40,16,1400,1500,100,2,1,10,3
Amiens437,Amiens 437,"Bibliotheque Municipale (BM), Amiens",France,"49.8977612, 2.30429279999998",parchment,143,281,203,57043,21164,,37,2,1350,1400,50,2,3,2,0
Arras845,Arras 845,"Bibliotheque Municipale (BM), Arras",France,"50.2915336, 2.77348129999995",parchment,25,340,240,81600,4200,,42,5,1300,1400,100,2,3,5,0
Arras897,Arras 897,"Bibliotheque Municipale (BM), Arras",France,"50.2915336, 2.77348129999995",parchment,120,300,200,60000,22080,,46,45,1370,1370,0,2,12,33,6
Arsenal2872,Arsenal 2872,"BnF, Bibliotheque de l'Arsenal",France,"48.850192, 2.36357799999996",parchment,3,336,270,90720,516,,43,0,1300,1400,100,2,25,,
Arsenal2989,Arsenal 2989,"BnF, Bibliotheque de l'Arsenal",France,"48.850192, 2.36357799999996",paper,327,263,194,51022,22890,,35,0,1700,1800,100,1,1,,
Arsenal3336,Arsenal 3336,"BnF, Bibliotheque de l'Arsenal",France,"48.850192, 2.36357799999996",parchment,183,297,256,76032,22692,,31,0,1400,1500,100,2,2,,
Arsenal3337,Arsenal 3337,"BnF, Bibliotheque de l'Arsenal","Sully-sur-Loire, France","48.850192, 2.36357799999996",parchment,123,295,212,62540,22140,,45,0,1300,1400,100,2,1,,
Arsenal3338,Arsenal 3338,"BnF, Bibliotheque de l'Arsenal",France,"48.850192, 2.36357799999996",parchment,146,310,230,71300,23360,,40,36,1300,1400,100,2,1,33,1
